,Y_test,default_linear_learner,default_tree_learner,lasso_learner,linear_svr_learner,kernel_ridge_learner,esn_ridge_learner,esn_kernel_ridge_learner,esn_linear_svr_learner
0,1.29,-75.09053153643966,-847.0066339850766,-1077.3351224969426,-746.1244886583722,-790.8496331571506,1319.5890726215785,1351.3448824796853,1802.521214686581
1,15.37,-91.03133306821918,-1055.5372752447552,-1076.6276344756761,-742.9831173888256,-780.3746573055678,-3708.984076971852,195.0644436447152,1266.014712175306
2,304.68,-121.3702565478843,-1134.1368014170841,-1068.9055946778028,-725.7571536941282,-842.1705045146025,-4969.857760796826,-631.1921302084115,945.5976799602093
3,705.66,68.81562061070004,-351.1375524679221,-910.2363238025072,-568.0906791989152,-497.89818556843625,-504.9548203718681,-827.2900232793149,716.0842051430633
4,150.15,225.47213254533375,-193.31987742020755,-690.3227216609343,-337.34841498571967,-277.4593752638066,254.169094425612,-891.7389368918383,660.5600344653965
5,25.53,27.489275551273323,-1134.1368014170841,-994.986807464872,-631.8222498453838,-564.7206900141264,324.72200907548955,-923.0344309836911,140.9197750268002
6,528.25,-10.507588136762154,-1055.5372752447552,-1063.3334409600152,-702.0844074574861,-717.573119397554,1018.0485260342106,-740.6312551741345,-218.94375132627704
7,862.25,111.12928510332421,-1134.1368014170841,-787.6215199948554,-469.9307148344931,-450.87714551145166,-481.60029622504703,-567.2596918171413,-159.32370716335615
8,216.14,218.93946276605647,-193.31987742020755,-604.4424509258723,-273.17993494901424,-242.22041548514304,376.52426363651733,-319.10569265909766,-98.18893497746427
9,6.2,-26.975399300252107,-1134.1368014170841,-958.7952303155829,-652.9664667698434,-533.7936902689578,-107.62746861411793,-440.74309311873964,-494.41215815854855
10,1290.46,-144.76666254647088,-1134.1368014170841,-1073.9347924723,-753.9506607036074,-849.784907741745,-815.0785713910053,-572.3200810455725,-653.8834760278281
11,156.86,427.4568924982948,-193.31987742020755,-369.5948186922334,-50.73983651913755,-13.172686733585953,201.13885000346926,-45.23057719655729,-138.8485000701084
12,0.55,-81.2053806074003,-1134.1368014170841,-991.3067728736928,-696.1735894372778,-530.8575813770434,-293.7339426620965,-425.2446059702768,-538.3801547352795
13,429.69,-93.36601848037668,-1134.1368014170841,-1077.0334803173296,-745.6845673225478,-791.114643788055,-453.6479636416203,-407.1088208196897,-683.675690809435
14,141.62,102.58213047129011,-1134.1368014170841,-841.6757985800061,-493.08476182651054,-536.1913050968952,-87.93669473127883,-293.8581981495197,-455.84223261047663
15,924.19,31.88351122614876,-1134.1368014170841,-999.6650034503766,-633.834847902568,-625.7252024007413,-54.891125367065335,-372.0385247292166,-532.3195244970559
16,1590.63,389.2082254335186,-193.31987742020755,-570.4720570991179,-196.05195850428984,-156.7389548380462,634.2710343955715,12.69743210407498,-176.3691203486902
17,1301.0,620.686926051563,758.0728718817923,-204.9694858705712,89.11062756265731,435.3988816858478,1082.7473019918712,360.7226778074818,162.7256666696774
18,1347.85,445.51427866020526,750.0305426385673,-363.8142576503564,-87.07507762208368,354.2137829439179,984.7306811969613,253.41474498377607,112.65638804210096
19,1387.21,460.2783324221931,-193.31987742020755,-338.1198283513092,-71.035523083296,319.15488678620466,362.0232405904635,229.94480030612522,79.64514632005779
20,1094.67,488.5508220784161,758.0728718817923,-316.53321709815475,-10.252197009342291,312.398937439679,642.3182013801382,302.9631887157136,85.25814201879567
21,89.69,415.21037159165166,-193.31987742020755,-476.9739502282151,-147.55567558177918,156.93649357798546,410.1526160289836,205.9431410401053,-33.39206562066545
22,734.66,-37.34997030990051,-1134.1368014170841,-1028.145509608316,-703.6897593409506,-551.2325273869704,-228.94014369123846,-157.01082323809615,-503.02849022482667
23,465.81,196.18187430225552,-193.31987742020755,-674.4179521908754,-357.7746287616007,-340.64679132918775,-75.96488180027627,3.8757152243815134,-313.35558372132607
24,54.65,18.33847429093105,-1134.1368014170841,-821.8661339848762,-506.50782169590053,-450.30460023649,-293.8556940773405,-333.16370629471913,-345.6472390666513
25,1117.83,-45.872729098285255,-351.1375524679221,-1047.3628586507728,-701.1385739178821,-658.6830166213332,-410.42327858168676,-484.70534128896406,-599.6654041993354
26,821.94,362.0179791295408,-193.31987742020755,-464.272072265231,-153.12233553804546,-60.60592445093656,-10.340078076450832,-196.7448947672243,-183.80204008338055
27,752.48,240.95762221120637,-193.31987742020755,-626.5500804892547,-305.7032776370448,-74.88873749029014,67.7884465531288,-188.29577923566612,-221.1750192419935
28,1032.09,263.21205775548566,-193.31987742020755,-664.6447455716917,-317.79253919242643,-163.22720101795858,-72.4505869035803,-217.84716548095994,-230.93746863651023
29,2154.26,420.23900027136176,-193.31987742020755,-511.29534586396124,-151.03533590305955,15.864761289553337,333.99185804918096,-3.071355131057698,-88.17544949835528
30,3046.39,849.1797939632223,1328.4079069040092,104.14793538498824,440.04638543948755,754.8154008451827,1039.8604231125146,492.2825053910044,441.4287885206538
31,3930.84,1169.9344687935038,2204.3320601480027,593.4280039134886,887.3548390273451,1434.8204874046578,1744.7266677228235,948.8378252645205,899.6703335777652
32,3111.81,1561.226439808053,2204.3320601480027,1078.496050734052,1336.3079664845363,2038.4631244860043,2479.7812341337685,1356.1055162550263,1368.0607980794855
33,2762.68,1203.80086603621,2204.3320601480027,629.3069700766397,877.8154907240981,1685.693382569085,2264.4382217058783,1001.0951843873929,1147.5096758882225
34,1098.43,1048.3037508052194,1328.4079069040092,437.8299988668864,660.0881174765022,1397.140820378556,1548.1523958260818,1019.2526841310449,837.6556406033637
35,1220.96,268.3847740808347,-193.31987742020755,-474.91181460037376,-255.24499606963062,359.68992873635335,102.21972146041922,378.2025166706293,-30.613952071762363
36,656.01,381.34731823583803,750.0305426385673,-407.71142138773683,-116.9447254642448,180.30924506374134,-294.4240531642056,221.76347399027554,-81.8209665336955
37,441.76,196.23061798068068,-193.31987742020755,-717.5527838743326,-428.0725828366882,-106.92117559131142,-629.1899829171815,8.040634514341376,-387.5703022111458
38,695.13,129.5773594895591,-351.1375524679221,-835.056123838496,-502.08492149829556,-361.76199510043875,-763.4050662097022,-31.803860147187155,-483.21263599649444
39,738.31,218.9263672528833,-193.31987742020755,-696.0977982995437,-387.99913530670193,-239.33097039855593,-737.3301858670658,41.42069749938921,-345.0560939367547
40,742.06,171.6279319097051,-193.31987742020755,-672.4161449989515,-347.3496078743256,-278.68573377614985,-289.0201879762888,61.70251578557469,-244.88811473951486
41,672.27,193.30593029550252,-193.31987742020755,-670.359493774376,-326.1802327373544,-275.32843711315763,-269.8571905109321,17.46269368480665,-206.21976506397618
42,7.43,166.1090903483628,-193.31987742020755,-708.6351441645725,-401.54112471350265,-285.1438442274189,-167.50088544045815,-47.88828344550251,-267.3548287782194
43,444.27,-143.4772308221585,-1134.1368014170841,-1073.2602108706353,-776.4266583274141,-694.1793881439402,-726.1784185191641,-417.4813087780553,-556.0116755403444
44,912.01,45.79675740074596,-1134.1368014170841,-833.6795386188517,-483.76228803116936,-596.8476963253529,-667.2044369657845,-458.9294924460765,-389.1981757841274
45,647.53,330.888947505102,-193.31987742020755,-577.1520602765521,-215.73040321901362,-147.9444292096127,-178.3895067032793,-156.59527994775854,-219.78329467586127
46,553.69,178.00204969228471,799.5662566919825,-722.2035578435144,-392.6175725038994,-236.98085143761844,-120.95298984271632,-202.40122110357518,-289.02860335747124
47,176.28,135.73988153953724,-1134.1368014170841,-773.6691980873265,-460.2619470744597,-333.0311621222684,-271.926081385834,-153.8388493642008,-381.35547574677656
48,94.24,-82.12513379690792,-1134.1368014170841,-980.6560617320176,-654.653813188243,-666.9204380668639,-786.5821252276314,-482.19768864828364,-516.3303031725201
49,46.13,-86.13056033112021,-1134.1368014170841,-1025.6501061225006,-701.9035488220316,-763.9254916011158,-1080.907693101481,-477.72556680502,-660.2724784213026
50,267.15,-153.00006936340318,-1134.1368014170841,-1052.0355702330023,-706.9426163209861,-878.9599120931481,-1125.69837576587,-543.4717803121241,-663.018124112853
51,20.91,27.752064721897504,-1134.1368014170841,-930.8192892580671,-557.6126442948015,-720.1426974495241,-1051.2487190560994,-484.6354490547784,-594.7943503487573
52,159.54,-17.000838898555894,-1134.1368014170841,-1065.8672352686995,-690.3370419738762,-751.5496816975566,-817.4664534638001,-604.6665237233548,-646.2191636004152
53,897.06,83.49400556152557,-351.1375524679221,-989.8369527985315,-614.3562396703228,-644.2298607343901,-716.054730321753,-541.2067282518582,-568.7032780144968
54,801.25,307.7008911602968,-193.31987742020755,-585.3512431585301,-267.1761753884089,-185.71168104290876,-507.17890938631376,-228.02653302045812,-259.6552802154849
55,1637.01,194.59086671939374,-193.31987742020755,-637.8973108456523,-359.65482050579936,-100.22356392177473,-160.05905154298483,-80.25391792502482,-294.0435258007727
56,1862.41,524.8414712645108,2522.227606797994,-179.53282352499724,137.84965888285842,337.3081661363994,278.9009775773926,129.07290678579682,125.21622012332227
57,982.58,708.4233548972372,1328.4079069040092,-55.91437391975337,266.1426854493107,643.7051658425739,456.3906094813906,364.00155872203663,248.16281650159743
58,449.35,359.2148950201834,-193.31987742020755,-538.4486264316457,-215.48865865855868,127.88668954022015,382.3633123082228,126.22893344387447,-78.16175084301564
59,243.24,134.06097772790426,-1134.1368014170841,-830.8934617599568,-482.6619382776145,-378.39960659466374,-334.52711647976463,-202.4824087591146,-322.2872801967196
60,0.0,23.99350455337039,-1134.1368014170841,-943.9324974659756,-611.4568369253494,-615.3864251062671,-773.820982370357,-340.6670264708793,-509.32617117605804
61,38.45,-91.2755755987426,-1055.5372752447552,-1077.3351224969426,-738.5131625645154,-777.663820151458,-1010.259754566513,-536.464504181846,-641.9847441632952
62,0.0,-33.90861309821147,-351.1375524679221,-1056.2475919409412,-700.6881507246881,-774.984332983727,-1129.8811832669576,-661.6489153189319,-665.2936632565737
63,0.0,-18.41671387403362,-1055.5372752447552,-1077.3351224969426,-722.6389215288498,-765.3649349004453,-1074.7666892006123,-612.1430041220768,-712.7575387878381
64,0.0,-72.27885062440004,-911.5121414329243,-1077.3351224969426,-729.160544288639,-875.9192775337505,-1195.671281345535,-589.2285268425984,-705.0233016808525
65,0.0,-86.34164378991855,-911.5121414329243,-1077.3351224969426,-727.1811088808461,-880.5190902665621,-1058.513573806803,-524.1770133578154,-703.8639334037624
66,0.0,-108.0808949906368,-911.5121414329243,-1077.3351224969426,-737.5939230916657,-891.0016523754024,-1114.3895750345596,-601.871768964837,-677.3269020193717
67,0.0,-121.1483274520163,-911.5121414329243,-1077.3351224969426,-735.1102108084657,-909.643574735671,-1136.8200484848999,-663.4868750012142,-668.2380896895849
68,0.0,-104.58139972640961,-911.5121414329243,-1077.3351224969426,-717.7483085588693,-918.8600409921507,-1076.8426086304016,-691.7359544340428,-659.1799658176265
69,0.0,-68.53094901064085,-911.5121414329243,-1077.3351224969426,-713.9699592535048,-883.7487653560223,-985.0996860425886,-727.474547297351,-657.0996570693936
70,0.0,-54.76376280837885,-911.5121414329243,-1077.3351224969426,-716.165022280173,-868.7280259795173,-939.2971427332615,-725.7510325929776,-650.6968689937423
71,0.0,-63.988451697626,-911.5121414329243,-1077.3351224969426,-710.493896848682,-878.4988326307897,-969.8486832984632,-727.7136287534074,-641.8101512414266
72,360.56,-94.50706876512452,-847.0066339850766,-1077.3351224969426,-748.0166311709228,-806.5751708818185,-1000.5620800153712,-664.4441148841016,-695.5394333164002
73,1107.44,14.230063174398612,3761.2828414574437,-879.5894783546739,-577.1309739974618,-523.1321219450342,-650.7775359061183,-472.57203045666756,-540.7905651942928
74,994.5500000000001,355.1347283700247,4468.121356568798,-469.9703672581279,-163.03728845350886,53.604287815585764,-233.88183797872682,-227.88656203029916,-151.42470503732633
75,501.62,304.8068496958305,799.5662566919825,-531.8837957227942,-217.7303413928215,11.545865564099602,-426.4553877546464,-215.7450456476994,-157.3051100885108
76,282.48,135.42767635510518,-4.233009388621043,-802.2264858909841,-447.4839536709862,-287.01181496095563,-285.3888263494784,-127.26451158016476,-396.8092487408178
77,768.05,1.097701964277764,23.245987586783986,-922.4116990520002,-604.9791085783154,-528.6149352771656,-612.1245713352465,-267.0858081462133,-517.2574199395092
78,1074.22,204.99145062111864,3028.4854216473755,-656.1055296872386,-299.3391021360556,-279.32495868319404,-254.73306465030458,-224.32618882280374,-233.58947915426467
79,959.84,370.89487085941295,-193.31987742020755,-488.1895549062387,-192.06056675058173,116.50506149926329,70.84974218077622,-165.78170508486934,-142.82823645187074
80,1133.59,220.00206211847492,799.5662566919825,-550.9201594574793,-273.8258217277582,-37.28160997691193,-96.03255174245388,-196.6605465418934,-198.55580952393666
81,85.58,330.53509696834385,-193.31987742020755,-455.6286527187452,-137.65759286442798,-1.9248539876391606,-87.71593264436076,-37.10224729652738,-135.8625490095758
82,0.04,-46.06806377486334,-1134.1368014170841,-1030.3995993504475,-688.8019932307078,-576.8886371564967,-607.0012100137906,-445.63208600309684,-578.5657330667202
83,0.0,-47.40489587093466,-911.5121414329243,-1077.313184883872,-711.2169648291771,-851.1329342162026,-1079.9818002620002,-482.754877784348,-691.3709832315541
84,0.0,-82.2252007596662,-911.5121414329243,-1077.3351224969426,-711.6261460793237,-907.9010743827502,-1167.8632881757271,-496.1795375985864,-691.1159544641811
85,119.86,-56.85491381648638,-911.5121414329243,-1077.3351224969426,-708.8874345960575,-850.7096085671204,-988.438117839197,-565.5799148278784,-677.5174445497405
86,858.88,-20.93055906407197,23.245987586783986,-1011.5990649561923,-681.2243037248847,-714.9531453403348,-944.2715602460016,-580.7325822945004,-653.005672187653
87,38.25,225.92498087643713,-193.31987742020755,-606.2906948263591,-300.4157497236779,-289.90109110584206,-510.2500716700556,-267.56088752560044,-339.521888939638
88,0.0,-117.40155520601533,-1134.1368014170841,-1056.3572800062575,-743.0674654437463,-682.8607206555287,-1005.036632328098,-524.9107804868777,-645.2058427274127
89,0.0,-107.15447871701829,-911.5121414329243,-1077.3351224969426,-736.7756691696435,-872.5296644933535,-1322.9922727441017,-587.3154973709378,-717.7093792928623
90,0.0,-104.62112006400884,-911.5121414329243,-1077.3351224969426,-743.9478780909029,-862.9399115361896,-1179.4545635379616,-506.3045541867263,-738.5831791647237
91,0.0,-112.00525194876418,-911.5121414329243,-1077.3351224969426,-725.892343729034,-901.4698808695076,-1158.4969508371728,-581.7445445499696,-663.0948728583618
92,0.0,-77.53558587632398,-911.5121414329243,-1077.3351224969426,-733.7540029401163,-853.3650189047572,-1196.5104537331833,-601.9486748973343,-671.4278373556813
